Subject Age Group,Weapon Type,Officer YOB,Officer Gender,Officer Race,Subject Perceived Race,Subject Perceived Gender,Initial Call Type,Arrest Flag,Frisk Flag,Reported_year
26 - 35,None,1984,Male,White,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
26 - 35,None,1984,Male,White,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
36 - 45,None,1977,Male,White,White,Male,SUICIDE - CRITICAL,0,1,2015
18 - 25,None,1982,Male,Asian,Black or African American,Female,ASLT - DV CRITICAL,0,0,2015
26 - 35,None,1977,Male,White,White,Male,WARRANT - FELONY PICKUP,0,0,2015
46 - 55,None,1991,Male,White,American Indian or Alaska Native,Male,TRAFFIC STOP - OFFICER INITIATED ONVIEW,0,0,2015
36 - 45,Lethal Cutting Instrument,1977,Male,White,White,Male,WARRANT - FELONY PICKUP,0,0,2015
26 - 35,None,1986,Female,White,White,Female,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2015
26 - 35,None,1986,Female,White,White,Male,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2015
18 - 25,None,1977,Male,White,White,Male,WARRANT - FELONY PICKUP,0,0,2015
36 - 45,None,1977,Male,White,Black or African American,Male,WARRANT - FELONY PICKUP,0,0,2015
18 - 25,Lethal Cutting Instrument,1991,Male,White,White,Male,BURG - OCCUPIED RESD,0,1,2015
26 - 35,None,1957,Male,Black or African American,Black or African American,Male,ROBBERY - CRITICAL (INCLUDES STRONG ARM),0,1,2015
26 - 35,None,1973,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
36 - 45,None,1961,Female,White,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
26 - 35,None,1983,Male,American Indian or Alaska Native,White,Male,DISTURBANCE,0,0,2015
18 - 25,None,1981,Female,Black or African American,White,Male,DISTURBANCE - DV - NO ASLT,0,0,2015
18 - 25,None,1981,Female,Black or African American,White,Female,DISTURBANCE - DV - NO ASLT,0,0,2015
26 - 35,None,1986,Male,White,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2015
36 - 45,None,1955,Male,Hispanic,Black or African American,Male,THEFT OF SERVICES,0,0,2015
56 and Above,Lethal Cutting Instrument,1977,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
36 - 45,None,1991,Male,Declined to Answer,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
26 - 35,None,1977,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
18 - 25,None,1970,Female,White,White,Male,DISTURBANCE,0,0,2015
26 - 35,None,1989,Male,Declined to Answer,Unknown,Male,DISTURBANCE,0,0,2015
36 - 45,None,1989,Male,Declined to Answer,Black or African American,Male,PROPERTY - DAMAGE,0,0,2015
26 - 35,None,1987,Male,White,Asian,Male,ASLT - CRITICAL (NO SHOOTINGS),0,1,2015
36 - 45,None,1986,Male,White,White,Female,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2015
26 - 35,None,1967,Male,White,White,Male,MVC - HIT AND RUN,0,0,2015
18 - 25,None,1986,Male,White,White,Female,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2015
18 - 25,None,1991,Male,Declined to Answer,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,1,2015
18 - 25,None,1977,Male,White,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,1,2015
26 - 35,None,1983,Male,American Indian or Alaska Native,Black or African American,Female,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
26 - 35,None,1978,Male,White,Black or African American,Female,DISTURBANCE - DV CRITICAL,0,0,2015
26 - 35,None,1986,Female,White,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,1,2015
26 - 35,Lethal Cutting Instrument,1963,Male,White,White,Male,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,0,0,2015
36 - 45,Lethal Cutting Instrument,1982,Male,White,Black or African American,Male,BURG - RESD (INCL UNOCC STRUCTURES ON PROP),0,1,2015
26 - 35,None,1973,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
26 - 35,None,1978,Male,White,Black or African American,Male,DISTURBANCE - DV CRITICAL,0,0,2015
18 - 25,None,1965,Male,Black or African American,White,Male,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2015
18 - 25,None,1977,Male,White,Black or African American,Male,DISTURBANCE - DV CRITICAL,0,1,2015
36 - 45,None,1981,Female,Black or African American,Black or African American,Male,SUICIDE - CRITICAL,0,1,2015
26 - 35,None,1990,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
46 - 55,None,1977,Male,White,White,Male,OBS - FIGHT - VERBAL/ORAL (NO WEAPONS),0,0,2015
26 - 35,None,1974,Female,White,White,Female,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,0,0,2015
46 - 55,None,1986,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
26 - 35,None,1973,Male,White,White,Male,PROPERTY - DAMAGE,0,0,2015
26 - 35,None,1991,Male,White,Black or African American,Male,DISTURBANCE,0,0,2015
26 - 35,None,1974,Male,White,White,Male,PROPERTY - DAMAGE,0,0,2015
46 - 55,None,1984,Male,White,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
18 - 25,None,1957,Male,Black or African American,Multi-Racial,Female,SERVICE - WELFARE CHECK,0,0,2015
46 - 55,None,1967,Male,Declined to Answer,Black or African American,Male,ASLT - DV CRITICAL,0,0,2015
26 - 35,None,1961,Female,White,White,Male,PEDESTRIAN VIOLATIONS,0,0,2015
36 - 45,None,1983,Male,American Indian or Alaska Native,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
18 - 25,None,1989,Male,Declined to Answer,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
56 and Above,None,1989,Male,Declined to Answer,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,0,2015
18 - 25,None,1992,Male,White,Asian,Male,MVC - HIT AND RUN,0,0,2015
36 - 45,None,1980,Male,White,Asian,Male,TRESPASS,0,1,2015
36 - 45,None,1981,Male,Declined to Answer,White,Male,DISTURBANCE - DV - NO ASLT,0,0,2015
46 - 55,None,1966,Male,White,Hispanic,Male,ASLT - DV CRITICAL,0,0,2015
26 - 35,None,1975,Male,Native Hawaiian or Other Pacific Islander,Black or African American,Male,ASLT - DV,0,0,2015
18 - 25,None,1975,Male,Native Hawaiian or Other Pacific Islander,Hispanic,Female,DISTURBANCE - DV CRITICAL,0,0,2015
18 - 25,None,1991,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
26 - 35,None,1986,Female,White,Black or African American,Male,DISTURBANCE - DV CRITICAL,0,0,2015
36 - 45,None,1981,Female,Black or African American,Black or African American,Female,OBS - FIGHT - VERBAL/ORAL (NO WEAPONS),0,0,2015
46 - 55,None,1981,Female,Black or African American,Black or African American,Male,OBS - FIGHT - VERBAL/ORAL (NO WEAPONS),0,0,2015
26 - 35,None,1967,Male,Declined to Answer,White,Male,PROPERTY - DAMAGE,0,0,2015
26 - 35,None,1986,Female,White,White,Female,DISTURBANCE,0,0,2015
18 - 25,None,1987,Male,White,White,Female,DISTURBANCE,0,1,2015
26 - 35,None,1982,Male,White,White,Female,TRESPASS,0,0,2015
18 - 25,None,1982,Male,White,White,Male,TRESPASS,0,0,2015
46 - 55,None,1977,Male,White,White,Female,"OBS - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",0,0,2015
56 and Above,None,1977,Male,White,White,Male,SUICIDE - CRITICAL,0,1,2015
36 - 45,None,1977,Male,White,White,Male,DISTURBANCE,0,1,2015
18 - 25,None,1992,Male,White,White,Male,DISTURBANCE,0,1,2015
26 - 35,None,1977,Male,White,White,Male,DISTURBANCE,0,1,2015
18 - 25,None,1977,Male,White,Asian,Male,DISTURBANCE,0,0,2015
